FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
336039.825	336426.387	389.912	1547.368	232.631	0.000	0.000	1.042	0.241	0.254	0.586	1.105	Adult115	data
336479.668	337452.889	976.572	958.831	504.253	0.000	0.000	1.042	0.342	0.367	1.163	1.827	Adult115	data
337536.223	337949.502	416.638	409.786	863.112	0.000	0.000	1.042	0.226	0.185	0.892	0.804	Adult115	data
338186.128	338406.150	223.301	361.987	865.575	1.000	0.075	1.042	0.217	0.115	0.622	0.483	Adult115	data
338459.452	338786.089	329.895	997.894	497.343	0.000	0.000	1.042	0.291	0.374	1.384	1.014	Adult115	data
338806.011	339445.977	643.322	959.913	502.962	0.000	0.000	1.042	0.358	0.265	1.060	1.159	Adult115	data
339505.888	339742.603	239.985	1462.042	310.712	0.000	0.000	1.042	0.250	0.155	0.859	0.567	Adult115	data
339762.547	340472.472	713.292	1544.957	246.907	0.000	0.000	1.042	0.287	0.185	0.865	0.906	Adult115	data
340522.437	341475.689	956.498	965.951	481.051	0.000	0.000	1.042	0.378	0.447	1.524	1.573	Adult115	data
341519.023	341798.968	283.187	453.620	292.037	0.000	0.000	1.042	0.225	0.157	0.801	0.748	Adult115	data
341822.259	342388.862	569.884	411.841	263.023	0.000	0.000	1.042	0.257	0.169	0.828	0.917	Adult115	data
342432.203	343438.658	1009.812	964.544	485.063	0.000	0.000	1.042	0.374	0.655	1.825	1.756	Adult115	data
343498.679	343945.246	449.924	1574.952	850.510	0.000	0.000	1.042	0.540	0.676	1.861	2.201	Adult115	data
344025.196	344091.935	70.008	1553.615	819.034	0.000	0.000	1.042	0.366	0.179	0.524	0.802	Adult115	data
344101.903	344291.929	193.284	1579.966	862.587	0.000	0.000	1.042	0.278	0.139	0.578	0.661	Adult115	data
344345.222	344571.868	229.909	1028.996	512.744	0.000	0.000	1.042	0.317	0.211	0.751	1.149	Adult115	data
344595.158	345388.412	796.498	973.670	500.936	0.000	0.000	1.042	0.341	0.310	1.142	1.147	Adult115	data
345438.354	345701.622	266.619	1497.932	271.134	0.000	0.000	1.042	0.261	0.231	1.031	0.878	Adult115	data
345721.657	346431.505	713.198	1550.421	221.759	0.000	0.000	1.042	0.268	0.254	0.826	1.194	Adult115	data
346481.538	347398.070	919.893	977.522	483.109	0.000	0.000	1.042	0.296	0.366	1.247	1.292	Adult115	data
347451.371	348264.575	816.547	410.826	872.180	0.000	0.000	1.042	0.299	0.453	1.390	2.185	Adult115	data
348331.292	349101.139	773.208	983.743	488.658	0.000	0.000	1.042	0.314	0.345	1.368	1.343	Adult115	data
349271.115	349407.738	139.980	973.261	471.784	1.000	0.119	1.042	0.296	0.176	0.826	0.682	Adult115	data
349471.117	349937.612	469.859	394.170	294.298	0.000	0.000	1.042	0.272	0.150	0.946	0.716	Adult115	data
349957.659	350280.942	326.635	392.837	255.507	0.000	0.000	1.042	0.269	0.140	0.615	0.771	Adult115	data
350350.920	350934.219	586.544	975.257	493.633	0.000	0.000	1.042	0.368	0.589	1.331	1.913	Adult115	data
351047.540	351367.461	323.274	969.880	485.400	0.000	0.000	1.042	0.273	0.307	0.945	1.022	Adult115	data
351447.404	352207.287	763.248	1525.379	269.800	0.000	0.000	1.042	0.255	0.235	1.119	0.953	Adult115	data
352260.591	352410.644	153.308	983.754	465.497	0.000	0.000	1.042	0.311	0.226	0.894	0.723	Adult115	data
352427.330	353403.793	979.805	970.141	501.136	0.000	0.000	1.042	0.330	0.290	1.422	1.177	Adult115	data
353453.834	354340.353	889.793	416.291	263.341	0.000	0.000	1.042	0.253	0.320	1.024	1.473	Adult115	data
354400.298	355430.150	1033.196	968.289	497.721	0.000	0.000	1.042	0.405	0.482	1.613	2.131	Adult115	data
355513.443	356333.351	823.264	415.708	859.274	0.000	0.000	1.042	0.376	0.386	0.940	2.349	Adult115	data
356393.371	356716.647	326.638	990.025	526.498	0.000	0.000	1.042	0.304	0.196	0.932	0.853	Adult115	data
356739.953	357416.513	679.914	960.571	507.650	0.000	0.000	1.042	0.330	0.253	1.013	1.210	Adult115	data
357476.530	358283.105	809.823	399.200	897.696	0.000	0.000	1.042	0.274	0.204	1.134	0.829	Adult115	data
358369.690	358906.285	539.938	973.002	519.049	0.000	0.000	1.042	0.309	0.205	0.996	1.005	Adult115	data
358926.312	359392.921	469.978	940.539	512.631	0.000	0.000	1.042	0.336	0.275	1.033	1.170	Adult115	data
359442.858	360152.808	713.303	1521.398	238.796	0.000	0.000	1.042	0.295	0.295	1.371	1.218	Adult115	data
360209.468	360432.749	226.640	958.331	455.818	0.000	0.000	1.042	0.394	0.330	0.992	1.203	Adult115	data
360452.682	361422.633	973.201	959.747	498.591	0.000	0.000	1.042	0.391	0.316	1.006	1.856	Adult115	data
361482.551	361755.878	276.677	1485.662	287.919	0.000	0.000	1.042	0.284	0.200	0.980	0.877	Adult115	data
361775.844	362242.445	469.930	1540.477	249.049	0.000	0.000	1.042	0.320	0.171	0.920	1.029	Adult115	data
362302.442	362442.414	143.319	1007.843	456.525	0.000	0.000	1.042	0.276	0.177	0.662	0.806	Adult115	data
362459.093	363422.336	966.491	959.829	493.112	0.000	0.000	1.042	0.400	0.400	1.353	1.441	Adult115	data
363482.238	364152.204	673.240	1522.136	258.662	0.000	0.000	1.042	0.273	0.275	1.280	0.976	Adult115	data
364212.103	364395.427	186.664	954.517	454.678	0.000	0.000	1.042	0.307	0.230	0.955	0.741	Adult115	data
364415.462	364818.715	406.590	959.474	504.420	0.000	0.000	1.042	0.316	0.258	1.000	1.169	Adult115	data
364842.100	365392.022	553.167	989.982	491.622	0.000	0.000	1.042	0.390	0.389	1.661	2.068	Adult115	data
365441.950	366275.189	836.602	424.296	281.670	0.000	0.000	1.042	0.237	0.146	0.986	0.818	Adult115	data
366331.854	366461.862	133.263	926.307	506.748	0.000	0.000	1.042	0.341	0.461	1.100	1.319	Adult115	data
366471.823	367448.300	979.829	961.939	493.875	0.000	0.000	1.042	0.363	0.470	1.580	1.180	Adult115	data
367534.953	368288.230	756.620	423.991	878.573	0.000	0.000	1.042	0.246	0.178	0.987	0.927	Adult115	data
368351.485	369414.718	1066.590	970.045	514.305	0.000	0.000	1.042	0.315	0.223	1.047	1.205	Adult115	data
369471.365	370177.957	709.850	429.238	253.760	0.000	0.000	1.042	0.254	0.174	0.742	0.822	Adult115	data
370264.514	371241.074	979.920	951.901	507.164	0.000	0.000	1.042	0.360	0.402	1.113	2.042	Adult115	data
371294.395	371534.366	243.308	497.031	325.190	0.000	0.000	1.042	0.251	0.119	0.580	0.547	Adult115	data
371557.749	372114.279	559.889	425.316	269.278	0.000	0.000	1.042	0.248	0.183	0.989	0.722	Adult115	data
372170.940	372387.616	219.929	904.494	486.602	0.000	0.000	1.042	0.389	0.325	0.994	1.047	Adult115	data
372410.909	372854.124	446.565	963.206	505.368	0.000	0.000	1.042	0.370	0.298	1.312	1.080	Adult115	data
372877.520	373157.460	283.302	988.768	486.864	0.000	0.000	1.042	0.332	0.224	0.875	1.041	Adult115	data
373220.746	373634.037	416.654	1529.717	286.392	0.000	0.000	1.042	0.289	0.185	0.895	0.947	Adult115	data
373654.080	373970.645	319.922	1545.520	237.651	0.000	0.000	1.042	0.302	0.171	0.999	0.717	Adult115	data
374020.704	374300.642	283.192	1001.471	455.293	0.000	0.012	1.042	0.444	0.385	1.061	1.984	Adult115	data
